name;kind;units;equation;vensim_comment;views;inputs;outputs;n_inputs;n_outputs;priority;purpose;logic;assumption;source;calibration;interpretation;status;suggested_priority;suggested_reason;needs_source;needs_assumption
Urban Aggregate Scale Factor;auxiliary;Dmnl;Reference Initial Urban Land / Reference Initial Desired Urban Land;Skalierungsfaktor, der die synthetische AMM-Stadt auf die aggregierte urbane Fläche des Gesamtmodells skaliert.;05_AMM_Budget_and_Housing_Demand;"Desired Urban Land; Initial Urban Land; Reference Initial Desired Urban Land; Reference Initial Urban Land; Urban Land";Desired Urban Land Total;5;1;medium;;;;;;;todo;medium;stark vernetzt;FALSCH;FALSCH
Urban Fringe Radius;auxiliary;km;MAX( 0, ( Mean Household Income - Other Consumption Per Household z - Land Demand per Household q * Agricultural Rent ) / Transport Cost per km per Household );Theoretischer AMM-Stadtrand. Der Radius ergibt sich aus der Bedingung, dass die urbane Zahlungsbereitschaft am Rand der landwirtschaftlichen Rente entspricht.;05_AMM_Budget_and_Housing_Demand;"Agricultural Rent; Land Demand per Household q; Mean Household Income; Other Consumption Per Household z; Transport Cost per km; Transport Cost per km per Household";"Desired Urban Land; Urban Rent at Fringe";6;2;medium;;;;;;;todo;medium;stark vernetzt;FALSCH;FALSCH
Urban Population Total;auxiliary;Dmnl;Urban Land / Urban Population Density;Normalisierte urbane Grössenvariable für den Innovation-Block. Sie wird aus Urban Land und Urban Population Density berechnet.;11_Innovation_and_City_Size;"Urban Land; Urban Population Density";"Equivalent Number of Large Cities; Equivalent Number of Medium Cities; Equivalent Number of Small Cities; Equivalent Number of Very Large Cities";2;4;medium;;;;;;;todo;medium;stark vernetzt;FALSCH;FALSCH
Urban Rent at Current Fringe;auxiliary;EUR/km2;( Mean Household Income - Other Consumption Per Household z - Transport Cost per km per Household * Current Urban Radius ) / Land Demand per Household q;Urbane Rente am aktuellen Stadtrand. Sie ergibt sich aus dem AMM-Budget nach Abzug des sonstigen Konsums und der distanzabhängigen Transportkosten.;04_Urban_Rent_and_Land_Tightness;"Current Urban Radius; Land Demand per Household q; Mean Household Income; Other Consumption Per Household z; Transport Cost per km; Transport Cost per km per Household";;6;0;medium;;;;;;;todo;medium;stark vernetzt;FALSCH;FALSCH
Urban Rent at Fringe;auxiliary;EUR/km2;( Mean Household Income - Other Consumption Per Household z - Transport Cost per km per Household * Urban Fringe Radius ) / Land Demand per Household q;Urbane Rente am theoretischen AMM-Fringe. Diese Variable dient zur Prüfung, ob der berechnete Fringe konsistent mit der Agricultural Rent ist.;05_AMM_Budget_and_Housing_Demand;"Land Demand per Household q; Mean Household Income; Other Consumption Per Household z; Transport Cost per km; Transport Cost per km per Household; Urban Fringe Radius";AMM Fringe Condition Gap;6;1;medium;;;;;;;todo;medium;stark vernetzt;FALSCH;FALSCH
Agricultural Rent Adjustment Time;constant;Year;5;"Agricultural Rent Adjustment Time
 
 Anpassungszeit der landwirtschaftlichen Bodenrente.
 
 Je höher dieser Wert ist, desto langsamer passt sich
 Agricultural Rent an Desired Agricultural Rent an.";08_Agriculture_and_Scarcity;;Agricultural Rent Change;0;1;medium;;;;;;;todo;medium;Parameter/Konstante braucht Quelle oder Wertbegruendung;WAHR;FALSCH
Agricultural Rent Sensitivity to Scarcity;constant;Dmnl;1;"Agricultural Rent Sensitivity to Scarcity
 
 Sensitivität der landwirtschaftlichen Bodenrente gegenüber
 landwirtschaftlicher Knappheit.
 
 Ein höherer Wert bedeutet, dass Desired Agricultural Rent stärker
 auf steigende Relative Agricultural Scarcity reagiert.";08_Agriculture_and_Scarcity;;Desired Agricultural Rent;0;1;medium;;;;;;;todo;medium;Parameter/Konstante braucht Quelle oder Wertbegruendung;WAHR;WAHR
Base Income Growth Rate;constant;Dmnl/Year;0.01;"Base Income Growth Rate
 
 Grundannahme für das jährliche Einkommenswachstum.
 Dieser Wert gilt unabhängig vom zusätzlichen Produktivitätseffekt.";03_Income_and_Productivity;;Net Income Growth Rate;0;1;medium;;;;;;;todo;medium;Parameter/Konstante braucht Quelle oder Wertbegruendung;WAHR;FALSCH
Caloric Baseline Need pP;constant;kcal/Person/Year;3400 * 365;"Caloric Baseline Need pP
 
 Jährlicher Kalorienbedarf pro Person.
 
 Der Wert wird aus einem angenommenen Tagesbedarf von 3400 kcal
 multipliziert mit 365 Tagen berechnet.";08_Agriculture_and_Scarcity;;Population kcal demand;0;1;medium;;;;;;;todo;medium;Parameter/Konstante braucht Quelle oder Wertbegruendung;WAHR;FALSCH
Commuting Share of Employed Persons;constant;Dmnl;0.957;"Commuting Share of Employed Persons
 
 Anteil der erwerbstätigen Personen, die regelmässig pendeln.
 Dieser Wert reduziert die erwerbstätigen Personen auf die
 tatsächlichen Pendler pro Haushalt.";02_Transport_and_Commuting;;Commuters per Household;0;1;medium;;;;;;;todo;medium;Parameter/Konstante braucht Quelle oder Wertbegruendung;WAHR;WAHR
Employment Share of Total Population;constant;Dmnl;0.439;"Employment Share of Total Population
 
 Anteil der Gesamtbevölkerung, der erwerbstätig ist.
 Dieser Anteil wird verwendet, um aus der Haushaltsgrösse
 die potenzielle Anzahl erwerbstätiger Personen pro Haushalt
 abzuleiten.";02_Transport_and_Commuting;;Commuters per Household;0;1;medium;;;;;;;todo;medium;Parameter/Konstante braucht Quelle oder Wertbegruendung;WAHR;WAHR
Household Size Adjustment Time;constant;Year;8;"Household Size Adjustment Time
 
 Anpassungszeit der mittleren Haushaltsgrösse.
 Je höher dieser Wert ist, desto langsamer bewegt sich
 Mean Household Size in Richtung des langfristigen Zielwertes.";01_Population_Household;;Mean Household Size Change;0;1;medium;;;;;;;todo;medium;Parameter/Konstante braucht Quelle oder Wertbegruendung;WAHR;FALSCH
Housing Preference Share Alpha;constant;Dmnl;0.15;"Housing Preference Share Alpha
 
 Anteil des verfügbaren Haushaltseinkommens, der für Wohnen
 bzw. urbane Landnutzung verwendet wird.
 
 Ein Wert von 0.15 bedeutet, dass 15 Prozent des verfügbaren
 Einkommens für Wohn- und Landkosten eingesetzt werden.";"05_AMM_Budget_and_Housing_Demand; 07_Cobb_Douglas_Utility";;"Cobb Douglas Utility Index; Housing Land Expenditure; Other Consumption Per Household z";0;3;medium;;;;;;;todo;medium;Parameter/Konstante braucht Quelle oder Wertbegruendung;WAHR;WAHR
Initial Aggricultural Land;constant;km2;1.6004e+06;"Initial Aggricultural Land
 
 Startwert der landwirtschaftlichen Fläche zu Beginn der Simulation.
 
 Dieser Wert initialisiert den Stock Aggricultural Land.
 Die Fläche sinkt, wenn Land in urbane Nutzung umgewandelt wird.";Macro_Ebene;;Aggricultural Land;0;1;medium;;;;;;;todo;medium;Parameter/Konstante braucht Quelle oder Wertbegruendung;WAHR;FALSCH
Initial Agricultural Rent;constant;EUR/km2;30000;"Initial Agricultural Rent
 
 Startwert der landwirtschaftlichen Bodenrente.
 
 Dieser Wert initialisiert den Stock Agricultural Rent.";08_Agriculture_and_Scarcity;;"Agricultural Rent; Desired Agricultural Rent";0;2;medium;;;;;;;todo;medium;Parameter/Konstante braucht Quelle oder Wertbegruendung;WAHR;FALSCH
Initial Income per Capita;constant;EUR/Person;41650;"Initial Income per Capita
 
 Startwert des durchschnittlichen Einkommens pro Person.
 Dieser Wert initialisiert den Stock Income per Capita
 zu Beginn der Simulation.";03_Income_and_Productivity;;Income per Capita;0;1;medium;;;;;;;todo;medium;Parameter/Konstante braucht Quelle oder Wertbegruendung;WAHR;FALSCH
Initial Mean Household Size;constant;Person/Household;2.3;"Initial Mean Household Size
 
 Startwert der durchschnittlichen Haushaltsgrösse.
 Dieser Wert initialisiert den Stock Mean Household Size
 zu Beginn der Simulation.";"01_Population_Household; 04_Urban_Rent_and_Land_Tightness";;"Mean Household Size; Reference Initial Land Demand per Household";0;2;medium;;;;;;;todo;medium;Parameter/Konstante braucht Quelle oder Wertbegruendung;WAHR;FALSCH
Initial Transport Cost per km;constant;EUR/km;0.47;"Initial Transport Cost per km
 
 Startwert der Transportkosten pro Kilometer.
 Dieser Wert initialisiert den Stock Transport Cost per km
 zu Beginn der Simulation.";02_Transport_and_Commuting;;Transport Cost per km;0;1;medium;;;;;;;todo;medium;Parameter/Konstante braucht Quelle oder Wertbegruendung;WAHR;FALSCH
Initial Urban Land;constant;km2;181700;"Initial Urban Land
 
 Startwert der urbanen Fläche zu Beginn der Simulation.
 Dieser Wert initialisiert den Stock Urban Land.";Macro_Ebene;;"Urban Aggregate Scale Factor; Urban Land; Urban Land Index";0;3;medium;;;;;;;todo;medium;Parameter/Konstante braucht Quelle oder Wertbegruendung;WAHR;FALSCH
Kcal per km^2 avg per t;constant;kcal/km2/Year;1.8e+09;"Kcal per km^2 avg per t
 
 Basis-Ertrag landwirtschaftlicher Fläche.
 
 Der Wert gibt an, wie viele Kilokalorien pro km2 und Jahr
 durch landwirtschaftliche Produktion erzeugt werden können.
 
 In dieser Modellversion wird dieser Wert vorerst ohne
 Innovationseffekt verwendet.";08_Agriculture_and_Scarcity;;Yield;0;1;medium;;;;;;;todo;medium;Parameter/Konstante braucht Quelle oder Wertbegruendung;WAHR;FALSCH
Long Run Transport Cost per km;constant;EUR/km;0.47;"Long Run Transport Cost per km
 
 Langfristig angenommene Transportkosten pro Kilometer.
 Dieser Wert dient als Zielwert für Transport Cost per km.";02_Transport_and_Commuting;;Desired Transport Cost per km;0;1;medium;;;;;;;todo;medium;Parameter/Konstante braucht Quelle oder Wertbegruendung;WAHR;FALSCH
Max Ceiling Soil Protection;constant;Dmnl;0.8;"Max Ceiling Soil Protection
 
 Maximale Reduktion der Landumwandlung durch Soil Protection.
 
 Ein Wert von 0.8 bedeutet, dass die Schutzlogik die spätere
 Land Conversion Rate maximal um 80 Prozent reduzieren kann.";10_Soil_Protection_and_Agricultural_Pressure;;Soil Protection Effect;0;1;medium;;;;;;;todo;medium;Parameter/Konstante braucht Quelle oder Wertbegruendung;WAHR;FALSCH
Maximum Income Growth Rate;constant;Dmnl/Year;0.03;"Maximum Income Growth Rate
 
 Obere Grenze für das jährliche Einkommenswachstum.
 Sie verhindert, dass das Einkommen unrealistisch stark wächst.";03_Income_and_Productivity;;Net Income Growth Rate;0;1;medium;;;;;;;todo;medium;Parameter/Konstante braucht Quelle oder Wertbegruendung;WAHR;FALSCH
Mean Annual Housing Cost per Capita;constant;EUR/Person/Year;805 * 12;Durchschnittliche jährliche Wohnkosten pro Person. Der Monatswert wird auf ein Jahr hochgerechnet.;05_AMM_Budget_and_Housing_Demand;;Mean Annual Housing Cost per Household;0;1;medium;;;;;;;todo;medium;Parameter/Konstante braucht Quelle oder Wertbegruendung;WAHR;FALSCH
Minimum Income Growth Rate;constant;Dmnl/Year;-0.02;"Minimum Income Growth Rate
 
 Untere Grenze für das jährliche Einkommenswachstum.
 Sie erlaubt negatives Wachstum, begrenzt aber den maximalen Rückgang.";03_Income_and_Productivity;;Net Income Growth Rate;0;1;medium;;;;;;;todo;medium;Parameter/Konstante braucht Quelle oder Wertbegruendung;WAHR;FALSCH
Reference Initial Land Demand per Capita;constant;km2/Person;0.000498;"Reference Initial Land Demand per Capita
 
 Referenzwert für die urbane Landnachfrage pro Person
 im Startzustand.
 
 0.000498 km2 entspricht 498 m2 pro Person.
 Dieser Wert dient zur Kalibrierung der anfänglichen
 Landnachfrage.";04_Urban_Rent_and_Land_Tightness;;Reference Initial Land Demand per Household;0;1;medium;;;;;;;todo;medium;Parameter/Konstante braucht Quelle oder Wertbegruendung;WAHR;FALSCH
Soil Protection Factor;constant;Dmnl;0.3;"Soil Protection Factor
 
 Stärke der Schutzreaktion auf landwirtschaftliche Knappheit.
 
 Je höher dieser Wert ist, desto stärker reduziert steigende
 landwirtschaftliche Knappheit die spätere Land Conversion Rate.";10_Soil_Protection_and_Agricultural_Pressure;;Soil Protection;0;1;medium;;;;;;;todo;medium;Parameter/Konstante braucht Quelle oder Wertbegruendung;WAHR;WAHR
Spatial Planing Factor;constant;Dmnl;1.0001;Szenarioparameter für räumliche Planung. Ein Wert von 1 bedeutet eine neutrale Planungsannahme ohne zusätzliche Verstärkung oder Dämpfung.;10_Soil_Protection_and_Agricultural_Pressure;;Spatial Planning;0;1;medium;;;;;;;todo;medium;Parameter/Konstante braucht Quelle oder Wertbegruendung;WAHR;WAHR
Transport Cost Adjustment Time;constant;Year;5;"Transport Cost Adjustment Time
 
 Anpassungszeit der Transportkosten.
 Je höher dieser Wert ist, desto langsamer bewegt sich
 Transport Cost per km in Richtung des langfristigen Zielwertes.";02_Transport_and_Commuting;;Transport Cost per km Change;0;1;medium;;;;;;;todo;medium;Parameter/Konstante braucht Quelle oder Wertbegruendung;WAHR;FALSCH
Urban Expansion Adjustment Time;constant;Year;10;"Urban Expansion Adjustment Time
 
 Anpassungszeit der urbanen Expansion.
 
 Je höher dieser Wert ist, desto langsamer wird ein bestehender
 Urban Land Gap durch neue Landumwandlung geschlossen.";09_Urban_Land_Conversion_Logic;;AMM Consistent Economic Land Conversion Demand;0;1;medium;;;;;;;todo;medium;Parameter/Konstante braucht Quelle oder Wertbegruendung;WAHR;FALSCH
Urban Productivity Elasticity;constant;Dmnl/Year;0.005;"Urban Productivity Elasticity
 
 Sensitivität des Einkommenswachstums gegenüber dem Innovation Index.
 
 Je höher dieser Wert ist, desto stärker wirkt sich Innovation
 auf die Einkommensentwicklung aus.";03_Income_and_Productivity;;Urban Productivity Effect;0;1;medium;;;;;;;todo;medium;Parameter/Konstante braucht Quelle oder Wertbegruendung;WAHR;WAHR
Urban Rent Adjustment Time;constant;Year;2;"Urban Rent Adjustment Time
 
 Anpassungszeit der urbanen Miete.
 
 Je höher dieser Wert ist, desto langsamer passt sich
 Mean Urban Rent an Desired Mean Urban Rent an.";04_Urban_Rent_and_Land_Tightness;;Mean Urban Rent Change;0;1;medium;;;;;;;todo;medium;Parameter/Konstante braucht Quelle oder Wertbegruendung;WAHR;FALSCH
Urban Rent Sensitivity to Land Tightness;constant;Dmnl;1;"Urban Rent Sensitivity to Land Tightness
 
 Sensitivität der urbanen Miete gegenüber Landknappheit.
 
 Ein höherer Wert bedeutet, dass Desired Mean Urban Rent stärker
 auf Änderungen im Land Tightness Index reagiert.";04_Urban_Rent_and_Land_Tightness;;Desired Mean Urban Rent;0;1;medium;;;;;;;todo;medium;Parameter/Konstante braucht Quelle oder Wertbegruendung;WAHR;WAHR
AMM Fringe Condition Gap;auxiliary;EUR/km2;Urban Rent at Fringe - Agricultural Rent;Differenz zwischen urbaner Rente am AMM-Fringe und Agricultural Rent. Ein Wert nahe null zeigt, dass die Fringe-Bedingung erfüllt ist.;05_AMM_Budget_and_Housing_Demand;"Agricultural Rent; Urban Rent at Fringe";;2;0;low;;;;;;;todo;low;"technisch extrahiert; vermutlich nur bei Bedarf vertiefen";FALSCH;FALSCH
Additional Urban Land Needed for Clearing;auxiliary;km2;Household Clearing Gap * Land Demand per Household q;Zusätzliche urbane Fläche, die benötigt würde, um den Household Clearing Gap vollständig zu schliessen.;09_Urban_Land_Conversion_Logic;"Household Clearing Gap; Land Demand per Household q";;2;0;low;;;;;;;todo;low;"technisch extrahiert; vermutlich nur bei Bedarf vertiefen";FALSCH;FALSCH
Aggricultural Land Requirement;auxiliary;km2;"""Target Value: Populational Need of Kcal in Km2"" - Aggricultural Land";Differenz zwischen der benötigten landwirtschaftlichen Fläche für den Kalorienbedarf und der aktuell vorhandenen Aggricultural Land.;08_Agriculture_and_Scarcity;"Aggricultural Land; Target Value: Populational Need of Kcal in Km2";;2;0;low;;;;;;;todo;low;"technisch extrahiert; vermutlich nur bei Bedarf vertiefen";FALSCH;FALSCH
Agricultural Scarcity Index;auxiliary;Dmnl;"ZIDZ( ""Target Value: Populational Need of Kcal in Km2"", Aggricultural Land )";"Agricultural Scarcity Index
 
 Dimensionsloser Knappheitsindex der landwirtschaftlichen Fläche.
 
 Ein Wert von 1 bedeutet, dass die benötigte Fläche ungefähr der
 verfügbaren Aggricultural Land entspricht.
 
 Werte über 1 deuten auf Knappheit hin.";08_Agriculture_and_Scarcity;"Aggricultural Land; Target Value: Populational Need of Kcal in Km2";"Reference Agricultural Scarcity Index; Relative Agricultural Scarcity";2;2;low;;;;;;;todo;low;"technisch extrahiert; vermutlich nur bei Bedarf vertiefen";FALSCH;FALSCH
Cobb Douglas Utility Index;auxiliary;Dmnl;(Relative Other Consumption per Household ^ (1 - Housing Preference Share Alpha)) * (Relative Land Demand per Household ^ Housing Preference Share Alpha);"Cobb Douglas Utility Index
 
 Dimensionsloser Nutzenindex auf Basis einer Cobb-Douglas-Logik.
 
 Der Index kombiniert relativen sonstigen Konsum und relative
 Landnachfrage pro Haushalt.
 
 Ein Wert von 1 entspricht dem Nutzen im Startzustand.
 Werte über 1 zeigen eine Verbesserung gegenüber dem Startzustand,
 Werte unter 1 eine Verschlechterung.";07_Cobb_Douglas_Utility;"Housing Preference Share Alpha; Relative Land Demand per Household; Relative Other Consumption per Household";;3;0;low;;;;;;;todo;low;"technisch extrahiert; vermutlich nur bei Bedarf vertiefen";FALSCH;FALSCH
Commuters per Household;auxiliary;Person/Household;Commuting Share of Employed Persons * Employment Share of Total Population * Mean Household Size;"Commuters per Household
 
 Berechnete Anzahl pendelnder Personen pro Haushalt.
 
 Die Variable kombiniert Haushaltsgrösse, Erwerbsquote und
 Pendleranteil. Sie bestimmt, wie stark Transportkosten auf
 einen durchschnittlichen Haushalt wirken.Commuters per Household
 
 Berechnete Anzahl pendelnder Personen pro Haushalt.
 
 Die Variable kombiniert Haushaltsgrösse, Erwerbsquote und
 Pendleranteil. Sie bestimmt, wie stark Transportkosten auf
 einen durchschnittlichen Haushalt wirken.";02_Transport_and_Commuting;"Commuting Share of Employed Persons; Employment Share of Total Population; Mean Household Size";Transport Cost per km per Household;3;1;low;;;;;;;todo;low;"technisch extrahiert; vermutlich nur bei Bedarf vertiefen";FALSCH;FALSCH
Current Fringe Rent Gap;auxiliary;EUR/km2;MAX(0, Mean Urban Rent - Agricultural Rent);"Current Fringe Rent Gap
 
 Positive Differenz zwischen urbaner Miete und landwirtschaftlicher Rente.
 
 Wenn Mean Urban Rent höher ist als Agricultural Rent, entsteht
 ökonomischer Druck zur Umwandlung von landwirtschaftlicher in
 urbane Fläche.
 
 Wenn Agricultural Rent höher ist, wird der Gap auf 0 gesetzt.";09_Urban_Land_Conversion_Logic;"Agricultural Rent; Mean Urban Rent";Rent Gap Pressure Factor;2;1;low;;;;;;;todo;low;"technisch extrahiert; vermutlich nur bei Bedarf vertiefen";FALSCH;FALSCH
Current Urban Land per Household;auxiliary;km2/Household;ZIDZ(Urban Land, Number of Households);"Current Urban Land per Household
 
 Aktuell verfügbare urbane Fläche pro Haushalt.
 
 Diese Variable zeigt, wie viel urbane Fläche im Durchschnitt
 auf einen Haushalt entfällt. Sie ist der zentrale Input für
 den Land Tightness Index.";04_Urban_Rent_and_Land_Tightness;"Number of Households; Urban Land";Land Tightness Index;2;1;low;;;;;;;todo;low;"technisch extrahiert; vermutlich nur bei Bedarf vertiefen";FALSCH;FALSCH
Current Urban Radius;auxiliary;km;SQRT(Urban Land / 3.141);Aktueller Radius der urbanen Fläche. Die urbane Fläche wird vereinfacht als kreisförmig interpretiert.;04_Urban_Rent_and_Land_Tightness;Urban Land;Urban Rent at Current Fringe;1;1;low;;;;;;;todo;low;"technisch extrahiert; vermutlich nur bei Bedarf vertiefen";FALSCH;FALSCH
Desired Mean Household Size;auxiliary;Person/Household;Long Run Mean Household Size;"Desired Mean Household Size
 
 Gewünschte bzw. angestrebte Haushaltsgrösse.
 In dieser Modellversion entspricht sie direkt dem
 langfristigen Zielwert Long Run Mean Household Size.";01_Population_Household;"Long Run Mean Household Size; Mean Household Size";Mean Household Size Change;2;1;low;;;;;;;todo;low;"technisch extrahiert; vermutlich nur bei Bedarf vertiefen";FALSCH;FALSCH
Desired Transport Cost per km;auxiliary;EUR/km;Long Run Transport Cost per km;"Desired Transport Cost per km
 
 Gewünschter Zielwert der Transportkosten pro Kilometer.
 In dieser Modellversion entspricht er direkt dem langfristigen
 Transportkostenwert.";02_Transport_and_Commuting;"Long Run Transport Cost per km; Transport Cost per km";Transport Cost per km Change;2;1;low;;;;;;;todo;low;"technisch extrahiert; vermutlich nur bei Bedarf vertiefen";FALSCH;FALSCH
Desired Urban Land;auxiliary;km2;3.141 * (Urban Fringe Radius ^ 2);Gewünschte urbane Fläche der synthetischen AMM-Stadt. Sie wird aus dem theoretischen Urban Fringe Radius berechnet.;05_AMM_Budget_and_Housing_Demand;Urban Fringe Radius;"Desired Urban Land Total; Reference Initial Desired Urban Land; Urban Aggregate Scale Factor; Urban Land Gap";1;4;low;;;;;;;todo;low;"technisch extrahiert; vermutlich nur bei Bedarf vertiefen";FALSCH;FALSCH
Disposable Income after Transport;auxiliary;EUR/Household;MAX(0, Mean Household Income - Transport Cost per Household );"Disposable Income after Transport
 
 Verfügbares Haushaltseinkommen nach Abzug der Transportkosten.
 
 Die MAX-Funktion verhindert negative Werte. Diese Variable
 wird später in der AMM-Budgetlogik auf Wohnen und sonstigen
 Konsum aufgeteilt.";"03_Income_and_Productivity; 05_AMM_Budget_and_Housing_Demand";"Mean Household Income; Transport Cost per Household";"Housing Land Expenditure; Other Consumption Per Household z";2;2;low;;;;;;;todo;low;"technisch extrahiert; vermutlich nur bei Bedarf vertiefen";FALSCH;FALSCH
Economic Pressure;auxiliary;Dmnl;1 + (Import Dependence ^ 2);"Economic Pressure
 
 Dimensionsloser Druckfaktor aus Import Dependence.
 
 Je stärker die Unterdeckung der Nahrungsmittelproduktion ist,
 desto höher wird dieser Druckfaktor. Er kann später in der
 Land-Conversion-Logik verwendet werden.";08_Agriculture_and_Scarcity;Import Dependence;;1;0;low;;;;;;;todo;low;"technisch extrahiert; vermutlich nur bei Bedarf vertiefen";FALSCH;FALSCH
Equivalent Number of Large Cities;auxiliary;Dmnl;Urban Population Total * (Share Large City / Representative Large City Size );Modellierte äquivalente Anzahl kleiner Städte. Die urbane Bevölkerung dieser Grössenklasse wird durch eine repräsentative Stadtgrösse geteilt. Es handelt sich nicht um eine echte gezählte Anzahl Städte, sondern um eine vereinfachte Modellgrösse.;11_Innovation_and_City_Size;"Representative Large City Size; Share Large City; Urban Population Total";Innovation Large;3;1;low;;;;;;;todo;low;"technisch extrahiert; vermutlich nur bei Bedarf vertiefen";FALSCH;FALSCH
Equivalent Number of Medium Cities;auxiliary;Dmnl;Urban Population Total * (Share Medium City / Representative Medium City Size );Modellierte äquivalente Anzahl kleiner Städte. Die urbane Bevölkerung dieser Grössenklasse wird durch eine repräsentative Stadtgrösse geteilt. Es handelt sich nicht um eine echte gezählte Anzahl Städte, sondern um eine vereinfachte Modellgrösse.;11_Innovation_and_City_Size;"Representative Medium City Size; Share Medium City; Urban Population Total";Innovation Medium;3;1;low;;;;;;;todo;low;"technisch extrahiert; vermutlich nur bei Bedarf vertiefen";FALSCH;FALSCH
Equivalent Number of Small Cities;auxiliary;Dmnl;Urban Population Total * (Share Small City / Representative Small City Size );Modellierte äquivalente Anzahl kleiner Städte. Die urbane Bevölkerung dieser Grössenklasse wird durch eine repräsentative Stadtgrösse geteilt. Es handelt sich nicht um eine echte gezählte Anzahl Städte, sondern um eine vereinfachte Modellgrösse.;11_Innovation_and_City_Size;"Representative Small City Size; Share Small City; Urban Population Total";Innovation Small;3;1;low;;;;;;;todo;low;"technisch extrahiert; vermutlich nur bei Bedarf vertiefen";FALSCH;FALSCH
Equivalent Number of Very Large Cities;auxiliary;Dmnl;Urban Population Total * (Share very Large City / Representative Very Large City Size);Modellierte äquivalente Anzahl kleiner Städte. Die urbane Bevölkerung dieser Grössenklasse wird durch eine repräsentative Stadtgrösse geteilt. Es handelt sich nicht um eine echte gezählte Anzahl Städte, sondern um eine vereinfachte Modellgrösse.;11_Innovation_and_City_Size;"Representative Very Large City Size; Share very Large City; Urban Population Total";Innovation very Large;3;1;low;;;;;;;todo;low;"technisch extrahiert; vermutlich nur bei Bedarf vertiefen";FALSCH;FALSCH
Household Capacity of Current Urban Land;auxiliary;Household;Urban Land / Land Demand per Household q;Anzahl Haushalte, die bei aktueller Urban Land und aktuellem Land Demand per Household theoretisch Platz hätten.;09_Urban_Land_Conversion_Logic;"Land Demand per Household q; Urban Land";Household Clearing Gap;2;1;low;;;;;;;todo;low;"technisch extrahiert; vermutlich nur bei Bedarf vertiefen";FALSCH;FALSCH
Household Clearing Gap;auxiliary;Household;MAX( 0, Number of Households - Household Capacity of Current Urban Land );Positive Differenz zwischen benötigter Haushaltszahl und der Kapazität der aktuellen urbanen Fläche. Negative Werte werden auf null gesetzt.;09_Urban_Land_Conversion_Logic;"Household Capacity of Current Urban Land; Number of Households; Urban Land";Additional Urban Land Needed for Clearing;3;1;low;;;;;;;todo;low;"technisch extrahiert; vermutlich nur bei Bedarf vertiefen";FALSCH;FALSCH
Household Scaling Factor;auxiliary;Dmnl;Number of Households / Reference Initial Number of Households;Relativer Skalierungsfaktor der Haushaltszahl. Er sorgt dafür, dass die gewünschte urbane Fläche mit der Anzahl Haushalte wächst.;05_AMM_Budget_and_Housing_Demand;"Number of Households; Reference Initial Number of Households";Desired Urban Land Total;2;1;low;;;;;;;todo;low;"technisch extrahiert; vermutlich nur bei Bedarf vertiefen";FALSCH;FALSCH
Housing Land Expenditure;auxiliary;EUR/Household;Housing Preference Share Alpha * Disposable Income after Transport;"Housing Land Expenditure
 
 Wohn- bzw. Landbudget eines durchschnittlichen Haushalts.
 
 Die Variable ergibt sich aus dem verfügbaren Haushaltseinkommen
 multipliziert mit dem Housing Preference Share Alpha.
 
 Sie bestimmt, wie viel ein Haushalt für urbane Landnutzung
 ausgeben kann.";"04_Urban_Rent_and_Land_Tightness; 05_AMM_Budget_and_Housing_Demand";"Disposable Income after Transport; Housing Preference Share Alpha";"Initial Mean Urban Rent; Land Demand per Household q";2;2;low;;;;;;;todo;low;"technisch extrahiert; vermutlich nur bei Bedarf vertiefen";FALSCH;FALSCH
Import Dependence;auxiliary;Dmnl;ZIDZ(Population kcal demand, Food Production);"Import Dependence
 
 Dimensionsloser Indikator für die Abhängigkeit von externer
 Nahrungsmittelversorgung.
 
 Ein Wert von 1 bedeutet, dass die modellierte Food Production
 den Kalorienbedarf deckt. Werte über 1 zeigen eine Unterdeckung.";08_Agriculture_and_Scarcity;"Food Production; Population kcal demand";Economic Pressure;2;1;low;;;;;;;todo;low;"technisch extrahiert; vermutlich nur bei Bedarf vertiefen";FALSCH;FALSCH
Initial Mean Urban Rent;auxiliary;EUR/km2;INITIAL( Housing Land Expenditure / Reference Initial Land Demand per Household );"Initial Mean Urban Rent
 
 Startwert der mittleren urbanen Miete.
 
 Der Wert wird aus dem anfänglichen Wohnbudget pro Haushalt
 und der anfänglichen Referenz-Landnachfrage pro Haushalt
 berechnet.";04_Urban_Rent_and_Land_Tightness;"Housing Land Expenditure; Reference Initial Land Demand per Household";"Desired Mean Urban Rent; Mean Urban Rent";2;2;low;;;;;;;todo;low;"technisch extrahiert; vermutlich nur bei Bedarf vertiefen";FALSCH;FALSCH
Land Tightness Index;auxiliary;Dmnl;ZIDZ( Reference Initial Land Demand per Household, Current Urban Land per Household );"Land Tightness Index
 
 Dimensionsloser Knappheitsindex für urbane Fläche.
 
 Ein Wert von 1 bedeutet, dass die aktuelle urbane Fläche pro
 Haushalt dem Referenzwert entspricht.
 
 Werte über 1 bedeuten höhere Knappheit und erzeugen Druck
 auf die urbane Miete.";04_Urban_Rent_and_Land_Tightness;"Current Urban Land per Household; Land per Household; Reference Initial Land Demand per Household; Urban Land";Desired Mean Urban Rent;4;1;low;;;;;;;todo;low;"technisch extrahiert; vermutlich nur bei Bedarf vertiefen";FALSCH;FALSCH
